,code,name,image,price,department
0,930239,Manna Health Mix 500g,/lulucommercewebservices/v2/medias/930239-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDkyNHxpbWFnZS9qcGVnfGltYWdlcy9oMjEvaDUzL2gwMC85MjM5MzQzMjM1MTAyLmpwZ3w1NWI1ODA0YjJjNmQ1MTQ2ZTM5MDlhOWJjZDNkNjcwYWNlM2E1NDE0Yjg5OGQ1ODUwOGUxOGI2OTM1OTM3ZTY3,13.0,GROCERY
20,1134327,Black Panther Men's Health Socks Free Size 1x3 Pack,/lulucommercewebservices/v2/medias/1134327-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMjY2NXxpbWFnZS9qcGVnfGltYWdlcy9oZDYvaDIzL2gwMC85Mzk5OTMxNzY0NzY2LmpwZ3wzMmY3Y2Q4YTdmZjY0NWVhMjY1ZTJkZjQ3MDAwMGYyYTUwNzhjMjQzMmQxNjY1MTM5M2ZiNTQzODgzM2FlNjMw,21.0,FASHION
40,26765,Adol Caplets 24pcs,/lulucommercewebservices/v2/medias/26765-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w5ODIxfGltYWdlL2pwZWd8aW1hZ2VzL2gxYS9oMzYvOTA4MTgxNzY5NDIzOC5qcGd8ZmNmYmY3MmVmYmE5NWRjNjJhMzVlODYyZTEzYTMwZGMxY2ZjY2YyZTE4NjhiNTgzOTNlMGFlMTAxMDJiZDc4Yw,4.5,GROCERY
60,741477,Olbas Inhalant Decongestant Oil 10ml,/lulucommercewebservices/v2/medias/741477-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w4ODEyfGltYWdlL2pwZWd8aW1hZ2VzL2gzNy9oMmEvOTExNDg4NzMyMzY3OC5qcGd8Mjc2YmQ4OGI2ZjJhNjRhYmY4MjA5ODc3MDcwNDFmZTRmMjg3YTZhMGMxM2JmZmQwYjUwMDA1YzVlYTI4NWUzZg,14.2,GROCERY
80,12299,Axe Oil 10ml,/lulucommercewebservices/v2/medias/12299-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3NjA3fGltYWdlL2pwZWd8aW1hZ2VzL2g0Ny9oZjkvOTEwMTM1Mzk0MzA3MC5qcGd8N2Y0OTM3NmZjMzk1ZjgyM2NmM2Y4YTAzZjYyNjk5NzdkZTBmMjhmYjYwN2JlNDZlNTI2ZTdkODZjMGQ3OWZkOQ,4.35,GROCERY
100,26907,Salonpas Spray 80ml,/lulucommercewebservices/v2/medias/26907-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3NzM0fGltYWdlL2pwZWd8aW1hZ2VzL2gyNi9oOTEvOTA4MTg5NDE3NDc1MC5qcGd8ZmZhNzliYzJmNDUzNTQ5YzkwY2RhYjI5NjUyOTQ5ODk3ZjZmMTk0ODQzNTFjZGE4NWU5ZDVjYWU3ODAzZjk3MA,33.25,GROCERY
120,1673733,Nutricook Air Fryer Oven by Nutribullet NC-AFO12 12LTR,/lulucommercewebservices/v2/medias/1673733-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTMxMHxpbWFnZS9qcGVnfGltYWdlcy9oZmUvaGIxL2gwMC85MzM4MzE2NzE4MTEwLmpwZ3w5ZTgyMGEzODYyZjNkZTk3NmI1NzE5M2VlZWVmZGYwMGMyYTg1ZjNjNzJmYzJiNGViMGQxNzRiYjM0YjNkOGYy,599.0,ELECTRONICS
140,1549365,Parodontax Toothbrush Complete Protection Soft 1pc,/lulucommercewebservices/v2/medias/1549365-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzNDA4MXxpbWFnZS9qcGVnfGltYWdlcy9oYTUvaGJiL2gwMC85MjUzNjI1NzkwNDk0LmpwZ3wzZTUzMjdiZmVjNTYwZTE5ZDQ5NmJmMGVmMDIwMTNlYzcxNDljNDBkNzY3N2FkMzUzZmY0OTEwOTk5M2EyN2M5,21.75,GROCERY
160,1256316,Aquafresh Standard Toothbrush Medium Assorted Color 1pc ,/lulucommercewebservices/v2/medias/1256316-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w2MzM5NHxpbWFnZS9qcGVnfGltYWdlcy9oMGMvaDUwL2gwMC85Mjg3MTU5MzE2NTEwLmpwZ3xmOGIwMzkxMTg0M2YxMmQwOWEyMWVmYmRjNTkyZjU1MDcxMjdlZjU2ZmIxNTZkMWFkYmI2MmM4MmRlMGRkYTc0,3.95,GROCERY
180,11231,Listerine Mouthwash Cool Mint 250ml,/lulucommercewebservices/v2/medias/11231-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNzE5NzR8aW1hZ2UvanBlZ3xpbWFnZXMvaGVlL2hlZi9oMDAvOTI0MTIwNDg4MzQ4Ni5qcGd8YmNlMjYyNzA4ZGRjMzE4ZmQyMGYzMDVjZmI0YmE3OTcyZGYxZjg3MTEyMzExZGVmMjFlMzQ5YmQzYTc1ZDVmNA,18.4,GROCERY
