web-scraper-order,web-scraper-start-url,basecat-link,basecat-link-href,subcat-link,subcat-link-href,product-links,product-links-href,itemname,price,oldprice,savings,offer,supplier,cat2,cat3,cat4,cat5,cat6,cat7
"1595480235-1094","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods","Jams & Spreads","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods/jams-jellies-and-sweet-spreads","Manuka health Manuka Honey 573 MGO 250g AED 390.00","https://www.noon.com/uae-en/manuka-honey-573-mgo-250g/N34475468A/p?o=f25ccbac4a30cc4e","Manuka Honey 573 MGO 250g","390.00","null","null","null","elite trading","Grocery","Breakfast Food","Jams, Jellies & Sweet Spreads","Honey","null","null"
"1595478183-683","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning?f[is_fbn]=1","Paper, Plastic & Wraps","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning/paper-plastic-wraps?f[is_fbn]=1","Toshionics Hanging Trash Bag Holder Purple… AED 8.90AED 2969% Off","https://www.noon.com/uae-en/hanging-trash-bag-holder-purple-22x12-5x3-5centimeter/N37806047A/p?o=e0b330e8afad28af","Hanging Trash Bag Holder Purple 22x12.5x3.5centimeter","8.90","29.00","20.10","69% Off","AFTRON Trading Div","Grocery","Home Care & Cleaning","Paper, Plastic & Wraps","Trash bags","null","null"
"1595480597-1173","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/beverages-16314?f[is_fbn]=1","Water","https://www.noon.com/uae-en/grocery-store/beverages-16314/water-22803","OASIS Plain Sparkling Water 500ml Pack of 6 AED 15.25","https://www.noon.com/uae-en/plain-sparkling-water-500ml-pack-of-6/N29007294A/p?o=f6a9d02bd1c6d1db","Plain Sparkling Water 500ml Pack of 6","15.25","null","null","null","Union Coop","Grocery","Beverages","Water","Sparkling Water","null","null"
"1595476430-214","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/pet-supplies?f[is_fbn]=1","Cat Food","https://www.noon.com/uae-en/pet-supplies/cats-16737/food-20631","Purina Friskies Indoor Delights Cat Food 1.42kg AED 23.75","https://www.noon.com/uae-en/indoor-delights-cat-food-1-42kg/N14503831A/p?o=ab4e020b0835f87f","Indoor Delights Cat Food 1.42kg","23.75","null","null","null","Spinneys Dubai LLC","Pet Supplies","Cats","Food","null","null","null"
"1595477999-632","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning?f[is_fbn]=1","Air Fresheners","https://www.noon.com/uae-en/grocery-store/home-care-and-cleaning/grocery-air-fresheners?f[is_fbn]=1","febreze Febreze Ocean and Wind Air Freshener, Pack Of… AED 25.95AED 4238% Off","https://www.noon.com/uae-en/febreze-ocean-and-wind-air-freshener-pack-of-2-35-off-2x300ml/N12885151A/p?o=c4a5130a3f7c43ce","Febreze Ocean and Wind Air Freshener, Pack Of 2 @35% off 2x300ml","25.95","42.15","16.20","38% Off","Noon Grocery","Grocery","Home Care & Cleaning","Air Fresheners","null","null","null"
"1595477359-490","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/beauty-and-health/beauty/personal-care-16343?f[is_fbn]=1","","https://www.noon.com/uae-en/beauty-and-health/beauty/hair-care?f[is_fbn]=1","GARNIER Naturals Hair Colour 5.1 Deep Ashy Light… AED 16.50AED 2121% Off","https://www.noon.com/uae-en/naturals-hair-colour-5-1-deep-ashy-light-brown-60ml/N16546862A/p?o=bc2e597847a8d4ab","Naturals Hair Colour 5.1 Deep Ashy Light Brown 60ml","16.50","21.00","4.50","21% Off","L’OREAL PARIS : The Official Store","Beauty & Health","Beauty & Fragrance","Hair Care","Hair Color","Chemical Hair Dyes","null"
"1595477431-511","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/beauty-and-health/beauty/personal-care-16343?f[is_fbn]=1","","https://www.noon.com/uae-en/beauty-and-health/beauty/hair-care?f[is_fbn]=1","GARNIER Color Naturals Permanent Hair Color 7.11… AED 16.50AED 2121% Off","https://www.noon.com/uae-en/color-naturals-permanent-hair-color-7-11-deep-ashy-blonde-60ml/N16546863A/p?o=ee499135bd1ce78b","Color Naturals Permanent Hair Color 7.11 Deep Ashy Blonde 60ml","16.50","21.00","4.50","21% Off","L’OREAL PARIS : The Official Store","Beauty & Health","Beauty & Fragrance","Hair Care","Hair Color","Chemical Hair Dyes","null"
"1595476795-319","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/beauty-and-health/beauty/personal-care-16343?f[is_fbn]=1","","https://www.noon.com/uae-en/beauty-and-health/beauty/personal-care-16343/shaving-and-hair-removal","Geepas 7-In-1 Grooming Kit Black AED 65.00AED 7917% Off","https://www.noon.com/uae-en/7-in-1-grooming-kit-black/N11265712A/p?o=b1c6de13a435aa2c","7-In-1 Grooming Kit Black","65.00","79.00","14.00","17% Off","Western International","Beauty & Health","Beauty & Fragrance","Personal Care","Shaving & Hair Removal","Men","Trimmers & Clippers"
"1595479951-1030","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods","Pasta & Noodles","https://www.noon.com/uae-en/grocery-store/pasta-and-noodles","WAITROSE Freefrom Gluten Free Penne 500g AED 15.00","https://www.noon.com/uae-en/freefrom-gluten-free-penne-500g/N32147106A/p?o=dfcad3c974c3392b","Freefrom Gluten Free Penne 500g","15.00","null","null","null","Spinneys Dubai LLC","Grocery","Pasta & Noodles","Pasta","Instant Pasta","null","null"
"1595479631-951","https://www.noon.com/uae-en/grocery","","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods","Canned Food","https://www.noon.com/uae-en/grocery-store/canned-dry-and-packaged-foods/canned-and-jarred-food","MECHELANY Vegetables Mixed  Pickle 600g AED 13.25","https://www.noon.com/uae-en/vegetables-mixed-pickle-600g/N34333356A/p?o=debe2fefdf3e4b9e","Vegetables Mixed  Pickle 600g","13.25","null","null","null","Spinneys Dubai LLC","Grocery","Canned, Dry & Packaged Food","Canned & Jarred Food","Pickles","null","null"
